seq,ship_code,ship_id,voyage_no,start_port,dest_port,passage_plan_create_dt,origin_latitude,origin_longitude,latitude,longitude,course,distance,sub_ttl,dtg,total_distance,safety_speed,depth,squat,ukc,eta,type,file_name,create_dt
170799,HGLS,GLOVIS SOLOMON,V0036,KRUSN,KRKAN,20191129,34-40.50 N,127-56.30 E,34.6805556,127.9416667,348.9,4.9,129.2,22.8,162.2,16,22,1.64,11.36,2.02E+11,RWP,HGLS19110539.VO6,2019-12-09 17:53
170800,HGLS,GLOVIS SOLOMON,V0036,KRUSN,KRKAN,20191129,34-43.60 N,127-50.30 E,34.7333333,127.8416667,302,5.8,135,17,162.2,10,26,0.64,16.36,2.02E+11,RWP,HGLS19110539.VO6,2019-12-09 17:53
170801,HGLS,GLOVIS SOLOMON,V0036,KRUSN,KRKAN,20191129,34-44.51 N,127-49.50 E,34.75,127.83,324,1.1,136.1,15.9,162.2,5,26,0.16,16.84,2.02E+11,RWP,HGLS19110539.VO6,2019-12-09 17:53
166216,HGCO,GLOVIS COURAGE,0046W,KRUSN,KRKAN,20191113,35-22.75 N,129-26.34 E,35.38,129.42,0,0,0,132.7,142,10,60,1.2,49.7,2.02E+11,RWP,HGCO19110145.VO6,2019-12-09 17:53
166217,HGCO,GLOVIS COURAGE,0046W,KRUSN,KRKAN,20191113,35-21.20 N,129-27.60 E,35.3555556,129.4666667,146.3,1.9,1.9,130.8,142,16,79,3,66.9,2.02E+11,RWP,HGCO19110145.VO6,2019-12-09 17:53
166218,HGCO,GLOVIS COURAGE,0046W,KRUSN,KRKAN,20191113,34-46.38 N,129-03.21 E,34.7772222,129.0558333,209.9,40.2,42.1,90.6,142,16,96,3,83.9,2.02E+11,RWP,HGCO19110145.VO6,2019-12-09 17:53
166219,HGCO,GLOVIS COURAGE,0046W,KRUSN,KRKAN,20191113,34-37.07 N,128-43.59 E,34.6186111,128.7330556,240.1,18.7,60.8,71.9,142,16,76,3,63.9,2.02E+11,RWP,HGCO19110145.VO6,2019-12-09 17:53
166220,HGCO,GLOVIS COURAGE,0046W,KRUSN,KRKAN,20191113,34-34.15 N,128-38.47 E,34.5708333,128.6463889,235.4,5.1,65.9,66.8,142,16,68,3,55.9,2.02E+11,RWP,HGCO19110145.VO6,2019-12-09 17:53
166221,HGCO,GLOVIS COURAGE,0046W,KRUSN,KRKAN,20191113,34-30.76 N,128-26.50 E,34.5211111,128.4472222,251.1,10.5,76.4,56.3,142,16,61,3,48.9,2.02E+11,RWP,HGCO19110145.VO6,2019-12-09 17:53
166222,HGCO,GLOVIS COURAGE,0046W,KRUSN,KRKAN,20191113,34-28.27 N,128-03.86 E,34.4741667,128.0738889,262.4,18.9,95.3,37.4,142,16,40,3,27.9,2.02E+11,RWP,HGCO19110145.VO6,2019-12-09 17:53
166223,HGCO,GLOVIS COURAGE,0046W,KRUSN,KRKAN,20191113,34-35.65 N,127-57.49 E,34.6013889,127.9636111,324.5,9.1,104.4,28.3,142,16,26,3,13.9,2.02E+11,RWP,HGCO19110145.VO6,2019-12-09 17:53
166224,HGCO,GLOVIS COURAGE,0046W,KRUSN,KRKAN,20191113,34-40.97 N,127-56.13 E,34.6936111,127.9369444,348.1,5.4,109.8,22.9,142,16,24,3,11.9,2.02E+11,RWP,HGCO19110145.VO6,2019-12-09 17:53
166225,HGCO,GLOVIS COURAGE,0046W,KRUSN,KRKAN,20191113,34-43.80 N,127-49.88 E,34.7388889,127.8411111,298.7,5.9,115.7,17,142,16,22,3,9.9,2.02E+11,RWP,HGCO19110145.VO6,2019-12-09 17:53
166226,HGCO,GLOVIS COURAGE,0046W,KRUSN,KRKAN,20191113,34-44.51 N,127-49.68 E,34.75,127.83,346.9,0.7,116.4,16.3,142,10,26,1.2,15.7,2.02E+11,RWP,HGCO19110145.VO6,2019-12-09 17:53
