,_id,dateTime,bDateTime,tDateTime,lat,long,dirpwsfcs,dirswsfcs,htsgwsfcs,perpwsfcs,perswsfcs,vgrdsfcs,ugrdsfcs,wdirsfcs,windsfcs,wvdirsfcs,wvpersfcs,createDate
0,5b99f8478fc350998c28d3a5,2.02E+13,2.02E+13,2.02E+13,35.62,128.73,101.47,,2.22,9.48,,-3.64,-2.82,52.22,4.6,99.33,8.19,20180913
1,5b99f8478fc350998c28d3a6,2.02E+13,2.02E+13,2.02E+13,35.81,129.08,101.64,,2.27,9.4,,-4.28,-2.4,60.77,4.91,99.47,8.09,20180913
